product_id,product_name,brand,category,subcategory,unit,image_url,description,is_popular,tags
P001,Amul Tazza Milk,Amul,Dairy,Milk,1L,https://via.placeholder.com/150?text=Amul+Milk,Fresh toned milk from Amul,True,"milk,dairy,amul,toned"
P002,Amul Gold Full Cream Milk,Amul,Dairy,Milk,500ml,https://via.placeholder.com/150?text=Amul+Gold,Full cream milk with high fat content,True,"milk,dairy,amul,full cream"
P003,Mother Dairy Milk,Mother Dairy,Dairy,Milk,1L,https://via.placeholder.com/150?text=Mother+Dairy,Fresh milk from Mother Dairy,True,"milk,dairy,mother dairy"
P004,Aashirvaad Whole Wheat Atta,ITC,Grains,Atta,5Kg,https://via.placeholder.com/150?text=Aashirvaad+Atta,Premium whole wheat flour,True,"atta,wheat,flour,aashirvaad"
P005,Fortune Chakki Fresh Atta,Fortune,Grains,Atta,5Kg,https://via.placeholder.com/150?text=Fortune+Atta,Fresh stone ground wheat flour,True,"atta,wheat,flour,fortune"
P006,Maggi 2-Minute Noodles,Nestle,Instant Food,Noodles,560g,https://via.placeholder.com/150?text=Maggi,India's favourite instant noodles,True,"maggi,noodles,instant,nestle"
P007,Maggi Masala Noodles,Nestle,Instant Food,Noodles,280g,https://via.placeholder.com/150?text=Maggi+Masala,Masala flavoured instant noodles,True,"maggi,noodles,masala,nestle"
P008,Tata Salt Iodized,Tata,Spices,Salt,1Kg,https://via.placeholder.com/150?text=Tata+Salt,Iodized vacuum evaporated salt,True,"salt,tata,iodized"
P009,Tata Rock Salt,Tata,Spices,Salt,1Kg,https://via.placeholder.com/150?text=Tata+Rock+Salt,Pure rock salt,False,"salt,tata,rock salt"
P010,Parle-G Original Biscuits,Parle,Snacks,Biscuits,800g,https://via.placeholder.com/150?text=Parle+G,Original glucose biscuits,True,"biscuits,parle,glucose,parle-g"
P011,Good Day Butter Biscuits,Britannia,Snacks,Biscuits,600g,https://via.placeholder.com/150?text=Good+Day,Butter cookies by Britannia,True,"biscuits,britannia,butter,good day"
P012,Nescafe Classic Coffee,Nestle,Beverages,Coffee,100g,https://via.placeholder.com/150?text=Nescafe,Premium instant coffee,True,"coffee,nescafe,nestle,instant"
P013,Bru Instant Coffee,HUL,Beverages,Coffee,100g,https://via.placeholder.com/150?text=Bru+Coffee,South Indian filter coffee blend,True,"coffee,bru,hul,instant"
P014,Fortune Sunflower Oil,Fortune,Oils,Cooking Oil,1L,https://via.placeholder.com/150?text=Fortune+Oil,Refined sunflower cooking oil,True,"oil,sunflower,fortune,cooking"
P015,Saffola Gold Oil,Marico,Oils,Cooking Oil,1L,https://via.placeholder.com/150?text=Saffola,Blended edible vegetable oil,True,"oil,saffola,heart,cooking"
P016,Daawat Basmati Rice,Daawat,Grains,Rice,5Kg,https://via.placeholder.com/150?text=Daawat+Rice,Premium aged basmati rice,True,"rice,basmati,daawat"
P017,India Gate Classic Basmati,India Gate,Grains,Rice,5Kg,https://via.placeholder.com/150?text=India+Gate,Classic basmati rice,True,"rice,basmati,india gate"
P018,Tata Tea Premium,Tata,Beverages,Tea,500g,https://via.placeholder.com/150?text=Tata+Tea,Premium blend tea,True,"tea,tata,premium"
P019,Red Label Tea,Brooke Bond,Beverages,Tea,500g,https://via.placeholder.com/150?text=Red+Label,Natural care tea blend,True,"tea,red label,brooke bond"
P020,Amul Butter,Amul,Dairy,Butter,500g,https://via.placeholder.com/150?text=Amul+Butter,Pasteurized butter,True,"butter,amul,dairy"
P021,Britannia Cheese Slices,Britannia,Dairy,Cheese,200g,https://via.placeholder.com/150?text=Britannia+Cheese,Processed cheese slices,False,"cheese,britannia,slices"
P022,Dettol Hand Wash,Reckitt,Personal Care,Hand Wash,250ml,https://via.placeholder.com/150?text=Dettol,Original antibacterial hand wash,True,"handwash,dettol,antibacterial"
P023,Dove Body Wash,HUL,Personal Care,Body Wash,250ml,https://via.placeholder.com/150?text=Dove,Moisturizing body wash,False,"bodywash,dove,moisturizing"
P024,Colgate Toothpaste,Colgate,Personal Care,Toothpaste,200g,https://via.placeholder.com/150?text=Colgate,Strong teeth toothpaste,True,"toothpaste,colgate,dental"
P025,Pepsodent Germicheck,HUL,Personal Care,Toothpaste,200g,https://via.placeholder.com/150?text=Pepsodent,Germ protection toothpaste,False,"toothpaste,pepsodent,germ"
P026,Surf Excel Easy Wash,HUL,Home Care,Detergent,1Kg,https://via.placeholder.com/150?text=Surf+Excel,Laundry detergent powder,True,"detergent,surf excel,washing"
P027,Ariel Matic Detergent,P&G,Home Care,Detergent,1Kg,https://via.placeholder.com/150?text=Ariel,Front load washing powder,True,"detergent,ariel,matic,washing"
P028,Kissan Mixed Fruit Jam,HUL,Spreads,Jam,500g,https://via.placeholder.com/150?text=Kissan+Jam,Mixed fruit preserve,True,"jam,kissan,fruit,spread"
P029,Ching's Hakka Noodles,Capital Foods,Instant Food,Noodles,240g,https://via.placeholder.com/150?text=Chings,Desi chinese hakka noodles,True,"noodles,chings,hakka,instant"
P030,Lay's Classic Salted,PepsiCo,Snacks,Chips,72g,https://via.placeholder.com/150?text=Lays,Crispy potato chips,True,"chips,lays,potato,snacks"
P031,Haldiram's Mixture,Haldirams,Snacks,Namkeen,400g,https://via.placeholder.com/150?text=Haldirams,Traditional Indian mix snack,True,"namkeen,haldirams,mixture,snacks"
P032,Amul Taaza Curd,Amul,Dairy,Curd,400g,https://via.placeholder.com/150?text=Amul+Curd,Fresh probiotic curd,True,"curd,amul,dahi,probiotic"
P033,Parachute Coconut Oil,Marico,Hair Care,Hair Oil,500ml,https://via.placeholder.com/150?text=Parachute,100% pure coconut oil,True,"coconut oil,parachute,hair care"
P034,Lifebuoy Total Body Wash,HUL,Personal Care,Soap,250ml,https://via.placeholder.com/150?text=Lifebuoy,Germ protection body wash,False,"soap,lifebuoy,bodywash"
P035,Maggi Hot & Sweet Sauce,Nestle,Condiments,Sauce,500g,https://via.placeholder.com/150?text=Maggi+Sauce,Tomato chilli sauce,True,"sauce,maggi,ketchup,condiment"
P036,Kissan Tomato Ketchup,HUL,Condiments,Ketchup,500g,https://via.placeholder.com/150?text=Kissan+Ketchup,Tomato ketchup,True,"ketchup,kissan,tomato,sauce"
P037,Hajmola Regular,Dabur,Health,Digestive,120 tablets,https://via.placeholder.com/150?text=Hajmola,Digestive candy tablets,True,"hajmola,dabur,digestive,candy"
P038,Ensure Nutrition Powder,Abbott,Health,Nutrition,400g,https://via.placeholder.com/150?text=Ensure,Complete nutrition for adults,False,"ensure,nutrition,health,protein"
P039,Horlicks Classic Malt,GSK,Beverages,Health Drink,500g,https://via.placeholder.com/150?text=Horlicks,Classic malt health drink,True,"horlicks,health drink,malt"
P040,Bournvita Cadbury,Mondelez,Beverages,Health Drink,500g,https://via.placeholder.com/150?text=Bournvita,Chocolate health drink,True,"bournvita,cadbury,chocolate,health"
P041,Chyawanprash Dabur,Dabur,Health,Immunity,1Kg,https://via.placeholder.com/150?text=Chyawanprash,Immunity booster ayurvedic,True,"chyawanprash,dabur,immunity,ayurvedic"
P042,Vim Dishwash Bar,HUL,Home Care,Dishwash,500g,https://via.placeholder.com/150?text=Vim,Lemon dishwash bar,True,"dishwash,vim,utensils,lemon"
P043,Harpic Toilet Cleaner,Reckitt,Home Care,Cleaner,500ml,https://via.placeholder.com/150?text=Harpic,Powerful toilet cleaner,True,"toilet cleaner,harpic,cleaning"
P044,Lizol Floor Cleaner,Reckitt,Home Care,Cleaner,500ml,https://via.placeholder.com/150?text=Lizol,Disinfectant floor cleaner,True,"floor cleaner,lizol,disinfectant"
P045,Fevicol SH,Pidilite,Stationery,Adhesive,200g,https://via.placeholder.com/150?text=Fevicol,Synthetic resin adhesive,False,"fevicol,adhesive,glue"
P046,Paper Boat Aamras,Hector Beverages,Beverages,Juice,200ml,https://via.placeholder.com/150?text=Paper+Boat,Mango pulp drink,True,"juice,mango,paper boat,aamras"
P047,Real Juice Mixed Fruit,Dabur,Beverages,Juice,1L,https://via.placeholder.com/150?text=Real+Juice,Mixed fruit juice drink,True,"juice,real,dabur,fruit"
P048,Britannia Marie Gold,Britannia,Snacks,Biscuits,500g,https://via.placeholder.com/150?text=Marie+Gold,Light digestive biscuits,True,"biscuits,marie,britannia,digestive"
P049,Hide & Seek Chocolate,Parle,Snacks,Biscuits,200g,https://via.placeholder.com/150?text=Hide+Seek,Chocolate chip cookies,True,"biscuits,chocolate,parle,hide seek"
P050,Amul Dark Chocolate,Amul,Chocolates,Dark Chocolate,150g,https://via.placeholder.com/150?text=Amul+Dark,Premium dark chocolate,True,"chocolate,dark,amul,premium"
